category,date,original,dispatched,order$,ship$
ice cream,2018-07-23,22265491.0,20061702.0,50873424.88999999,47746477.67099999
home care,2018-07-23,1000871.0,909401.0,4318222.24,3917515.327
condiments,2018-07-23,4014890.0,3809571.0,13266427.840000002,12399375.403
svg other personal care,2018-07-23,440791.0,336865.0,3831756.77,2428647.4630000005
deo,2018-07-23,9692794.0,9209484.0,33089710.129999995,30006774.53
q-tips,2018-07-23,1359398.0,1156834.0,3713175.3200000017,3314946.970000001
tea,2018-07-23,2156782.0,1930612.0,6689266.7299999995,6035547.016999999
ic-other,2018-07-23,558.0,558.0,7657.430000000001,7657.430000000001
other foods,2018-07-23,728.0,600.0,1927.52,1588.53
hair care,2018-07-23,9406217.0,8855315.0,28842802.529999997,26755807.882
savoury,2018-07-23,9069884.0,8833413.0,9510322.949999996,8736719.385
